, lat, lon, total_area, mean_width, mean_length, mean_depth, mean_elev, max_elev, min_elev
6032,30.403,83.803, 0.1000, 0.2000, 0.4000, 12.0000, 5878, 5960, 5796
6033,30.4,83.8, 0.2000, 0.4000, 0.6000, 17.0000, 5841, 6004, 5678
6034,30.396,83.842, 0.2000, 0.3000, 0.6000, 17.0000, 5845, 5970, 5720
6035,30.388,83.841, 0.1000, 0.2000, 0.4000, 12.0000, 5930, 6100, 5760
6036,30.379,83.835, 0.4000, 0.4000, 1.0000, 23.0000, 5820, 6000, 5640
6037,30.373,83.832, 0.5000, 0.5000, 1.0000, 32.0000, 5781, 5962, 5600
6038,30.376,83.823, 0.1000, 0.3000, 0.3000, 12.0000, 5702, 5764, 5640
6039,30.372,83.818, 0.1000, 0.2000, 0.3000, 12.0000, 5820, 5880, 5760
6040,30.342,83.821, 1.1000, 0.9000, 1.3000, 43.0000, 5930, 6100, 5760
6041,30.335,83.813, 0.4000, 0.4000, 0.8000, 23.0000, 5762, 5880, 5644
6042,30.333,83.806, 0.7000, 0.6000, 1.0000, 36.0000, 5759, 5920, 5598
6043,30.333,83.799, 0.5000, 0.7000, 0.5000, 32.0000, 5820, 5960, 5680
6044,30.325,83.788, 0.0700, 0.2000, 0.3000, 10.0000, 5830, 5960, 5700
6045,30.318,83.802, 0.4000, 0.6000, 0.8000, 23.0000, 5790, 5940, 5640
6046,30.312,83.797, 0.1000, 0.2000, 0.5000, 12.0000, 5739, 5820, 5658
6047,30.317,83.814, 0.6000, 0.6000, 1.0000, 34.0000, 5757, 5974, 5540
6048,30.331,83.809, 0.7000, 0.6000, 1.2000, 36.0000, 5700, 5900, 5500
6049,30.334,83.825, 0.0700, 0.2000, 0.2000, 10.0000, 5920, 6000, 5840
6050,30.337,83.833, 0.0900, 0.2000, 0.5000, 12.0000, 5949, 6100, 5798
6051,30.343,83.831, 0.5000, 0.5000, 1.2000, 32.0000, 5840, 6100, 5580
6052,30.376,83.842, 0.5000, 0.5000, 1.2000, 32.0000, 5799, 5920, 5678
6053,30.376,83.85, 0.4000, 0.6000, 0.6000, 23.0000, 5859, 6122, 5596
6054,30.383,83.847, 0.2000, 0.3000, 0.5000, 17.0000, 5845, 6000, 5690
6055,30.391,83.843, 1.0700, 0.1000, 0.5000, 10.0000, 5850, 6000, 5700
6056,30.392,83.859, 0.3000, 0.5000, 0.5000, 20.0000, 5824, 5970, 5678
6057,30.401,83.85, 3.4000, 1.7000, 2.0000, 65.0000, 5786, 6042, 5530
6058,30.422,83.851, 0.5000, 0.6000, 0.8000, 32.0000, 5871, 6042, 5700
6059,30.428,83.85, 0.1000, 0.3000, 0.3000, 12.0000, 5977, 6034, 5920
6060,30.417,83.873, 0.4000, 0.6000, 0.7000, 23.0000, 5896, 6072, 5720
6061,30.431,83.87, 0.2000, 0.3000, 0.8000, 17.0000, 6022, 6164, 5880
6062,30.438,83.87, 1.5000, 0.9000, 1.6000, 49.0000, 5892, 6164, 5620
6063,30.429,83.889, 0.1000, 0.3000, 0.5000, 12.0000, 5870, 6000, 5740
6064,30.4,83.91, 0.4000, 0.4000, 1.2000, 23.0000, 5840, 5940, 5740
6065,30.396,83.906, 1.0000, 0.8000, 1.3000, 42.0000, 5880, 6040, 5720
6066,30.378,83.911, 0.4000, 0.4000, 0.8000, 23.0000, 5840, 5960, 5720
6067,30.362,83.89, 0.1000, 0.2000, 0.7000, 12.0000, 5830, 5982, 5678
6068,30.362,83.883, 0.5000, 1.1000, 0.4000, 32.0000, 5823, 5980, 5660
6069,30.334,83.875, 0.1000, 0.2000, 0.6000, 12.0000, 5600, 5720, 5480
6070,30.333,83.872, 0.0700, 0.2000, 0.4000, 10.0000, 5746, 6010, 5482
6071,30.343,83.888, 0.2000, 0.3000, 0.6000, 17.0000, 5878, 6056, 5700
6072,30.35,83.887, 0.2000, 0.3000, 0.6000, 17.0000, 5810, 5920, 5700
6073,30.36,83.886, 0.2000, 0.4000, 0.6000, 17.0000, 5880, 5960, 5800
6074,30.368,83.909, 0.1000, 0.3000, 0.4000, 12.0000, 5885, 6010, 5760
6075,30.363,83.91, 0.0800, 0.2000, 0.3000, 11.0000, 5904, 6010, 5798
6076,30.347,83.908, 0.3000, 0.4000, 0.7000, 20.0000, 5853, 5966, 5740
6077,30.358,83.937, 0.1000, 0.3000, 0.4000, 12.0000, 5900, 6000, 5800
6078,30.346,83.938, 0.2000, 0.3000, 0.6000, 17.0000, 5863, 6006, 5720
6079,30.335,83.943, 0.9000, 0.7000, 1.2000, 40.0000, 5832, 6030, 5635
6080,30.326,83.931, 1.4000, 1.1000, 1.2000, 48.0000, 5783, 5990, 5576
6081,30.32,83.918, 0.3000, 0.4000, 0.6000, 20.0000, 5825, 5950, 5700
6082,30.311,83.914, 0.3000, 0.4000, 0.6000, 20.0000, 5780, 5930, 5630
